timestamp,base_data_name,model_name,adaptation_method,selection_method,batch_size,seed,lr,n_train_steps,corruption_type,severity,shift_type,latta_anchor_weight,latta_noise_scale,cross_entropy,accuracy_top1
3/20/2026 19:23,cifar10,resnet26,tent,last_iterate,8,2022,0.001,1,jpeg_compression,1,synthetic,NA,NA,0.867640053,75.56
3/20/2026 19:24,cifar10,resnet26,tent,last_iterate,16,2022,0.001,1,gaussian_noise,1,synthetic,NA,NA,0.665377132,79.32
3/20/2026 19:25,cifar10,resnet26,tent,last_iterate,16,2022,0.001,1,frost,1,synthetic,NA,NA,0.545618329,82.94
3/20/2026 19:27,cifar10,resnet26,tent,last_iterate,16,2022,0.001,1,contrast,1,synthetic,NA,NA,0.436380604,86.69
3/20/2026 19:30,cifar10,resnet26,tent,last_iterate,16,2022,0.001,1,motion_blur,1,synthetic,NA,NA,0.505009114,84.53
3/20/2026 19:34,cifar10,resnet26,tent,last_iterate,16,2022,0.001,1,jpeg_compression,1,synthetic,NA,NA,0.722975999,78.45
3/20/2026 19:36,cifar10,resnet26,tent,last_iterate,32,2022,0.001,1,gaussian_noise,1,synthetic,NA,NA,0.603270951,80.88
3/20/2026 19:37,cifar10,resnet26,tent,last_iterate,32,2022,0.001,1,frost,1,synthetic,NA,NA,0.467186626,84.56
3/20/2026 19:40,cifar10,resnet26,tent,last_iterate,32,2022,0.001,1,contrast,1,synthetic,NA,NA,0.364700377,87.91
3/20/2026 19:42,cifar10,resnet26,tent,last_iterate,32,2022,0.001,1,motion_blur,1,synthetic,NA,NA,0.428942522,86.27
3/20/2026 19:44,cifar10,resnet26,tent,last_iterate,32,2022,0.001,1,jpeg_compression,1,synthetic,NA,NA,0.659953443,79.76
3/20/2026 19:46,cifar10,resnet26,tent,last_iterate,64,2022,0.001,1,gaussian_noise,1,synthetic,NA,NA,0.589263929,81.14
3/20/2026 19:48,cifar10,resnet26,tent,last_iterate,64,2022,0.001,1,frost,1,synthetic,NA,NA,0.443541541,85.18
3/20/2026 19:49,cifar10,resnet26,tent,last_iterate,64,2022,0.001,1,contrast,1,synthetic,NA,NA,0.337864127,88.75
3/20/2026 19:51,cifar10,resnet26,tent,last_iterate,64,2022,0.001,1,motion_blur,1,synthetic,NA,NA,0.398034706,87.32
