base_data_name,model_name,adaptation_method,selection_method,batch_size,seed,shift_type,corruption_type,severity,cross_entropy,accuracy_top1
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Jpeg Compression,1,0.68377399,78.93
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Jpeg Compression,2,0.89167987,73
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Jpeg Compression,3,0.971791833,71.11
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Jpeg Compression,4,1.079078575,68.45
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Jpeg Compression,5,1.242680441,65.13
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Motion Blur,1,0.416188887,86.67
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Motion Blur,2,0.467560558,84.91
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Motion Blur,3,0.553535673,82.24
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Motion Blur,4,0.560092923,81.9
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Motion Blur,5,0.628494212,80.27
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Pixelate,1,0.429083513,85.75
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Pixelate,2,0.497573839,83.58
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Pixelate,3,0.545663377,82.7
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Pixelate,4,0.698174784,78.09
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Pixelate,5,0.985453386,70.26
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Shot Noise,1,0.560934548,81.88
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Shot Noise,2,0.688493401,78
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Shot Noise,3,1.029779345,69.39
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Shot Noise,4,1.16768633,66.44
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Shot Noise,5,1.433056277,59.97
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Fog,1,0.354190449,88.04
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Fog,2,0.366420076,87.68
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Fog,3,0.407474785,86.99
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Fog,4,0.450711465,85.06
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Fog,5,0.666057577,79.4
