timestamp,base_data_name,model_name,adaptation_method,selection_method,batch_size,seed,lr,n_train_steps,corruption_type,severity,shift_type,latta_anchor_weight,latta_noise_scale,cross_entropy,accuracy_top1
3/20/2026 21:31,cifar10,resnet26,tent,last_iterate,64,2022,0.001,1,jpeg_compression,1,synthetic,NA,NA,0.642761972,80.3
3/20/2026 21:33,cifar10,resnet26,tent,last_iterate,64,2022,0.005,1,gaussian_noise,1,synthetic,NA,NA,0.505874279,84.13
3/20/2026 21:35,cifar10,resnet26,tent,last_iterate,64,2022,0.005,1,frost,1,synthetic,NA,NA,0.388426859,87
3/20/2026 21:36,cifar10,resnet26,tent,last_iterate,64,2022,0.005,1,contrast,1,synthetic,NA,NA,0.301423462,89.89
3/20/2026 21:38,cifar10,resnet26,tent,last_iterate,64,2022,0.005,1,motion_blur,1,synthetic,NA,NA,0.362271638,88.33
3/20/2026 21:40,cifar10,resnet26,tent,last_iterate,64,2022,0.005,1,jpeg_compression,1,synthetic,NA,NA,0.571667003,82.36
3/20/2026 21:41,cifar10,resnet26,tent,last_iterate,64,2022,0.01,1,gaussian_noise,1,synthetic,NA,NA,0.481043166,85.18
3/20/2026 21:43,cifar10,resnet26,tent,last_iterate,64,2022,0.01,1,frost,1,synthetic,NA,NA,0.372766152,87.9
3/20/2026 21:45,cifar10,resnet26,tent,last_iterate,64,2022,0.01,1,contrast,1,synthetic,NA,NA,0.295709442,90.44
3/20/2026 21:46,cifar10,resnet26,tent,last_iterate,64,2022,0.01,1,motion_blur,1,synthetic,NA,NA,0.356677179,88.69
3/20/2026 21:48,cifar10,resnet26,tent,last_iterate,64,2022,0.01,1,jpeg_compression,1,synthetic,NA,NA,0.550414367,83.36
3/20/2026 21:49,cifar10,resnet26,tent,last_iterate,64,2022,0.05,1,gaussian_noise,1,synthetic,NA,NA,0.69642515,82.6
3/20/2026 21:51,cifar10,resnet26,tent,last_iterate,64,2022,0.05,1,frost,1,synthetic,NA,NA,0.484661674,86.21
3/20/2026 21:52,cifar10,resnet26,tent,last_iterate,64,2022,0.05,1,contrast,1,synthetic,NA,NA,0.384999756,89.05
3/20/2026 21:53,cifar10,resnet26,tent,last_iterate,64,2022,0.05,1,motion_blur,1,synthetic,NA,NA,0.480268304,86.96
3/20/2026 21:53,cifar10,resnet26,tent,last_iterate,64,2022,0.05,1,jpeg_compression,1,synthetic,NA,NA,0.778200612,81.1
3/20/2026 21:54,cifar10,resnet26,eata,last_iterate,64,2022,0.001,1,gaussian_noise,1,synthetic,NA,NA,0.644422027,79.32
3/20/2026 21:55,cifar10,resnet26,eata,last_iterate,64,2022,0.001,1,frost,1,synthetic,NA,NA,0.47346393,84.19
3/20/2026 21:55,cifar10,resnet26,eata,last_iterate,64,2022,0.001,1,contrast,1,synthetic,NA,NA,0.358065888,88.2
3/20/2026 21:56,cifar10,resnet26,eata,last_iterate,64,2022,0.001,1,motion_blur,1,synthetic,NA,NA,0.415717795,86.7
3/20/2026 21:57,cifar10,resnet26,eata,last_iterate,64,2022,0.001,1,jpeg_compression,1,synthetic,NA,NA,0.682442722,78.93
3/20/2026 21:58,cifar10,resnet26,eata,last_iterate,64,2022,0.005,1,gaussian_noise,1,synthetic,NA,NA,0.639905791,79.43
3/20/2026 21:59,cifar10,resnet26,eata,last_iterate,64,2022,0.005,1,frost,1,synthetic,NA,NA,0.471378097,84.38
3/20/2026 22:00,cifar10,resnet26,eata,last_iterate,64,2022,0.005,1,contrast,1,synthetic,NA,NA,0.355412814,88.25
3/20/2026 22:00,cifar10,resnet26,eata,last_iterate,64,2022,0.005,1,motion_blur,1,synthetic,NA,NA,0.413874972,86.75
