base_data_name,model_name,adaptation_method,selection_method,batch_size,seed,shift_type,corruption_type,severity,cross_entropy,accuracy_top1
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Pixelate,3,0.508502697,83.71
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Pixelate,4,0.641404098,80.06
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Pixelate,5,0.897650361,72.7
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Shot Noise,1,0.51368073,83.26
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Shot Noise,2,0.623067431,80.23
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Shot Noise,3,0.922105268,72.35
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Shot Noise,4,1.03670035,69.89
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Shot Noise,5,1.277652665,63.65
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Fog,1,0.333577899,88.72
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Fog,2,0.34873443,88.42
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Fog,3,0.390399025,87.34
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Fog,4,0.433632821,85.83
cifar10-c,resnet26,tent,last_iterate,8,2022,synthetic,Fog,5,0.642173593,80.28
